Site,Species,Hour,Minutes,NightLight_10K,NightLight_5K,NightLight_3K
Caetetus,Cuniculus_paca,2,3,0.202489004,0.074653298,0.051570699
Novo_Horizonte,Cuniculus_paca,1,59,0.629979014,0.097237401,0.094932802
Novo_Horizonte,Cuniculus_paca,3,19,0.629979014,0.097237401,0.094932802
Sao_Jose_Rio_Pardo,Cuniculus_paca,11,56,0.235854998,0.104506001,0.120008998
Sao_Jose_Rio_Pardo,Cuniculus_paca,4,50,0.235854998,0.104506001,0.120008998
Sao_Jose_Rio_Pardo,Cuniculus_paca,3,52,0.235854998,0.104506001,0.120008998
Sao_Jose_Rio_Pardo,Cuniculus_paca,2,6,0.235854998,0.104506001,0.120008998
Valparaiso,Cuniculus_paca,20,1,0.118042998,0.221954003,0.0415859
Caetetus,Cuniculus_paca,22,21,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,20,51,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,19,51,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,21,3,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,0,15,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,22,49,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,23,24,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,1,46,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,2,9,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,21,50,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,3,28,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,4,14,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,0,30,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,21,8,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,4,17,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,4,7,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,4,10,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,23,21,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,21,12,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,2,41,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,22,51,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,4,21,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,0,47,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,23,25,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,1,3,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,0,20,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,23,4,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,20,33,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,1,12,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,19,45,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,18,32,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,0,30,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,1,7,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,20,31,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,1,44,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,1,16,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,0,51,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,4,1,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,20,50,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,23,24,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,19,43,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,1,13,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,23,31,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,20,21,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,1,15,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,2,33,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,19,18,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,19,14,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,21,6,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,20,22,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,20,59,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,0,53,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,4,1,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,18,41,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,0,1,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,23,40,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,21,15,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,3,27,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,3,35,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,2,53,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,23,26,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,19,25,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,17,40,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,2,52,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,0,5,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,20,29,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,3,14,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,19,48,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,3,38,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,5,49,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,4,22,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,18,44,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,2,55,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,0,6,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,5,17,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,0,48,0.202489004,0.074653298,0.051570699
Amparo,Cuniculus_paca,0,12,1.193070054,0.309419006,0.280874997
Amparo,Cuniculus_paca,20,33,1.193070054,0.309419006,0.280874997
Amparo,Cuniculus_paca,20,18,1.193070054,0.309419006,0.280874997
Amparo,Cuniculus_paca,23,56,1.193070054,0.309419006,0.280874997
Amparo,Cuniculus_paca,23,33,1.193070054,0.309419006,0.280874997
Amparo,Cuniculus_paca,21,18,1.193070054,0.309419006,0.280874997
Amparo,Cuniculus_paca,19,56,1.193070054,0.309419006,0.280874997
Amparo,Cuniculus_paca,20,0,1.193070054,0.309419006,0.280874997
Amparo,Cuniculus_paca,0,3,1.193070054,0.309419006,0.280874997
Anhembi1,Cuniculus_paca,1,20,0.228274003,0.21604,0.080339298
Anhembi1,Cuniculus_paca,2,17,0.228274003,0.21604,0.080339298
Caetetus,Cuniculus_paca,3,4,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,19,49,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,20,1,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,2,16,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,1,54,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,19,55,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,23,52,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,1,23,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,20,20,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,0,48,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,3,4,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,3,38,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,20,32,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,19,3,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,19,0,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,22,45,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,23,2,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,0,3,0.202489004,0.074653298,0.051570699
Caetetus,Cuniculus_paca,0,49,0.202489004,0.074653298,0.051570699
