Site	UnPlot	UniquePair	Treatment	Time	RealTime	jaccdist	Heucdist	Abund	Estar	Hstar	Dstar	Adpalms
CBO	CBOclosed1	CBO1	closed	24	24	0,589167633	0,797499967	49	0,67973335	2,406785057	10,71664268	3
CBO	CBOopen1	CBO1	open	24	24	0,581669209	0,808152918	42	0,715990913	2,049917211	8,094567509	3
CBO	CBOclosed11	CBO11	closed	24	24	0,565824424	0,754208134	36	0,774103201	3,196014999	14,0307787	2
CBO	CBOopen11	CBO11	open	24	24	0,603506605	0,784274013	41	0,561092723	1,857021694	6,138710659	2
CBO	CBOclosed12	CBO12	closed	24	24	0,575489717	0,750698838	13	0,499030131	0,627201084	2,2202318	1
CBO	CBOopen12	CBO12	open	24	24	0,727934325	1,011711156	14	0,70490922	1,097446325	3,923138158	1
CBO	CBOclosed14	CBO14	closed	24	24	0,545906424	0,739416054	22	0,809263425	2,783499376	11,12690059	8
CBO	CBOopen14	CBO14	open	24	24	0,417890276	0,560375883	17	0,714791229	1,616183129	6,033027058	8
CBO	CBOclosed15	CBO15	closed	24	24	0,572368027	0,78613318	22	0,678017139	2,378116398	8,817726271	9
CBO	CBOopen15	CBO15	open	24	24	0,47819303	0,613697365	26	0,649017658	1,721578151	6,285963195	9
CBO	CBOclosed2	CBO2	closed	24	24	0,523911845	0,624799292	24	0,663097844	2,072212091	7,320780987	3
CBO	CBOopen2	CBO2	open	24	24	0,568830379	0,726127479	22	0,7432208	2,329022772	9,503570897	3
CBO	CBOclosed4	CBO4	closed	24	24	0,690123027	0,989832752	21	0,780839201	1,735123711	6,295369948	0
CBO	CBOopen4	CBO4	open	24	24	0,581376708	0,823807683	15	0,8145598	1,613074765	6,16101755	0
CBO	CBOclosed5	CBO5	closed	24	24	0,503873992	0,681839168	15	0,726381106	1,680794066	6,09851698	8
CBO	CBOopen5	CBO5	open	24	24	0,574091833	0,724605668	15	0,883494106	1,942194426	7,560844726	8
CBO	CBOclosed6	CBO6	closed	24	24	0,685643684	0,972330599	27	0,501841829	0,882031802	2,924682473	3
CBO	CBOopen6	CBO6	open	24	24	0,627298416	0,877514678	52	0,741765981	3,019762962	12,69812148	3
CBO	CBOclosed9	CBO9	closed	24	24	0,522662632	0,650194191	29	0,540233405	1,608286146	5,222917057	1
CBO	CBOopen9	CBO9	open	24	24	0,54067557	0,718804689	16	0,732001722	1,537536531	6,235637842	1
CBO	CBOclosed1	CBO1	closed	30	30	0,603661278	0,821455545	51	0,668399383	2,303241558	10,2338587	3
CBO	CBOopen1	CBO1	open	30	30	0,598535702	0,844529007	49	0,680802544	2,127216101	8,434000792	3
CBO	CBOclosed11	CBO11	closed	30	30	0,557848363	0,716585954	40	0,728999664	2,802822649	12,64933671	2
CBO	CBOopen11	CBO11	open	30	30	0,601629098	0,793954893	42	0,545611391	1,899639019	6,15789476	2
CBO	CBOclosed12	CBO12	closed	30	30	0,559780605	0,745029299	17	0,487800606	1,060459162	3,251479346	1
CBO	CBOopen12	CBO12	open	30	30	0,688247547	0,971188957	18	0,740329778	1,749987456	6,142265373	1
CBO	CBOclosed14	CBO14	closed	30	30	0,551690669	0,739334374	26	0,751828918	2,93109985	11,1688315	8
CBO	CBOopen14	CBO14	open	30	30	0,435829985	0,554463016	20	0,682041192	1,653239376	5,923584758	8
CBO	CBOclosed15	CBO15	closed	30	30	0,566352605	0,756579639	23	0,631756186	2,011697496	7,198989847	9
CBO	CBOopen15	CBO15	open	30	30	0,494944106	0,581458808	29	0,607451199	1,852353733	6,577540336	9
CBO	CBOclosed2	CBO2	closed	30	30	0,503248682	0,60554133	26	0,609555698	1,915753466	6,661409117	3
CBO	CBOopen2	CBO2	open	30	30	0,575153911	0,747681474	21	0,759730619	2,516967014	9,940875446	3
CBO	CBOclosed4	CBO4	closed	30	30	0,70212989	1,001804786	26	0,74069425	2,028024686	7,192649095	0
CBO	CBOopen4	CBO4	open	30	30	0,638328518	0,888902846	14	0,925469717	1,644333229	6,679388158	0
CBO	CBOclosed5	CBO5	closed	30	30	0,527842394	0,703909161	17	0,682469659	1,824154348	6,299358395	8
CBO	CBOopen5	CBO5	open	30	30	0,593695998	0,751514939	14	0,93506006	1,845742214	7,683029984	8
CBO	CBOclosed6	CBO6	closed	30	30	0,67063232	0,936267998	29	0,474175711	1,054502306	3,293274937	3
CBO	CBOopen6	CBO6	open	30	30	0,63560263	0,881989976	51	0,741765981	3,019762962	12,69812148	3
CBO	CBOclosed9	CBO9	closed	30	30	0,527753637	0,63437458	35	0,533005385	2,031047546	6,656558877	1
CBO	CBOopen9	CBO9	open	30	30	0,526855549	0,703295771	16	0,732001722	1,537536531	6,235637842	1
CBO	CBOclosed1	CBO1	closed	36	36	0,591103801	0,791516835	46	0,658650131	2,196982151	9,511003812	3
CBO	CBOopen1	CBO1	open	36	36	0,554861613	0,778023103	51	0,660717945	2,294907202	8,847074034	3
CBO	CBOclosed11	CBO11	closed	36	36	0,581304757	0,740759424	41	0,715295303	2,674317326	12,12946562	2
CBO	CBOopen11	CBO11	open	36	36	0,628721975	0,820287643	41	0,509176018	1,774505954	5,484574409	2
CBO	CBOclosed12	CBO12	closed	36	36	0,558445553	0,749105386	15	0,534754689	0,902522543	2,995697469	1
CBO	CBOopen12	CBO12	open	36	36	0,638816471	0,861809346	23	0,711058448	1,962631707	7,383106784	1
CBO	CBOclosed14	CBO14	closed	36	36	0,548635256	0,736652938	26	0,751828918	2,93109985	11,1688315	8
CBO	CBOopen14	CBO14	open	36	36	0,426167039	0,552492089	21	0,682041192	1,653239376	5,923584758	8
CBO	CBOclosed15	CBO15	closed	36	36	0,571529328	0,770419874	21	0,631732788	1,818071203	6,450483359	9
CBO	CBOopen15	CBO15	open	36	36	0,466787356	0,579959686	25	0,603746081	1,619461629	5,530001284	9
CBO	CBOclosed2	CBO2	closed	36	36	0,48892956	0,586874061	24	0,642845222	2,04330546	7,139693532	3
CBO	CBOopen2	CBO2	open	36	36	0,562118035	0,73868816	21	0,759730619	2,516967014	9,940875446	3
CBO	CBOclosed4	CBO4	closed	36	36	0,671199524	0,937119344	30	0,714448552	2,318035862	8,14862788	0
CBO	CBOopen4	CBO4	open	36	36	0,663683716	0,916993449	14	0,925469717	1,644333229	6,679388158	0
CBO	CBOclosed5	CBO5	closed	36	36	0,530249229	0,713579348	16	0,69280628	1,757025274	6,083778001	8
CBO	CBOopen5	CBO5	open	36	36	0,624487732	0,774406283	13	0,925469717	1,644333229	6,679388158	8
CBO	CBOclosed6	CBO6	closed	36	36	0,675279011	0,951107636	32	0,49088041	1,118852145	3,549521104	3
CBO	CBOopen6	CBO6	open	36	36	0,633669858	0,889317672	52	0,741765981	3,019762962	12,69812148	3
CBO	CBOclosed9	CBO9	closed	36	36	0,50531304	0,588409641	35	0,562532127	2,111204592	7,254173484	1
CBO	CBOopen9	CBO9	open	36	36	0,516152913	0,67260611	16	0,732001722	1,537536531	6,235637842	1
CBO	CBOclosed1	CBO1	closed	42	42	0,577287761	0,779245821	43	0,681362201	2,407218349	10,43408144	3
CBO	CBOopen1	CBO1	open	42	42	0,544354561	0,768928413	47	0,649111329	2,098318695	7,821093113	3
CBO	CBOclosed11	CBO11	closed	42	42	0,574556155	0,737032092	41	0,702253185	2,762573737	12,22456219	2
CBO	CBOopen11	CBO11	open	42	42	0,623575186	0,806923999	40	0,509176018	1,774505954	5,484574409	2
CBO	CBOclosed12	CBO12	closed	42	42	0,625391688	0,819996926	28	0,359722258	0,942150548	2,745498433	1
CBO	CBOopen12	CBO12	open	42	42	0,61483807	0,836444671	24	0,689643656	1,838797675	6,970618808	1
CBO	CBOclosed14	CBO14	closed	42	42	0,541164011	0,738556008	26	0,751828918	2,93109985	11,1688315	8
CBO	CBOopen14	CBO14	open	42	42	0,422761737	0,556457753	19	0,682041192	1,653239376	5,923584758	8
CBO	CBOclosed15	CBO15	closed	42	42	0,598327417	0,793822588	20	0,603746081	1,619461629	5,530001284	9
CBO	CBOopen15	CBO15	open	42	42	0,471763539	0,567970881	27	0,605479219	1,752102236	6,08534582	9
CBO	CBOclosed2	CBO2	closed	42	42	0,488975748	0,596560688	24	0,642845222	2,04330546	7,139693532	3
CBO	CBOopen2	CBO2	open	42	42	0,553225092	0,725220271	21	0,759730619	2,516967014	9,940875446	3
CBO	CBOclosed4	CBO4	closed	42	42	0,655708101	0,912567422	25	0,759869334	2,197122847	8,077439518	0
CBO	CBOopen4	CBO4	open	42	42	0,632868271	0,882489524	16	0,8145598	1,613074765	6,16101755	0
CBO	CBOclosed5	CBO5	closed	42	42	0,550342001	0,741308211	16	0,69280628	1,757025274	6,083778001	8
