Site	UnPlot	UniquePair	Treatment	Time	RealTime	jaccdist	Heucdist	Abund	Estar	Hstar	Dstar	Adpalms
VGM	VGMopen14	VGM14	open	18	18	0,503133485	0,517582825	52	0,354316228	0,700164359	2,257407983	25
VGM	VGMclosed15	VGM15	closed	18	18	0,676	0,923735423	25	0,675217157	1,744722645	5,868616664	23
VGM	VGMopen15	VGM15	open	18	18	0,565971614	0,728940276	22	0,63017663	1,360359025	4,724309137	23
VGM	VGMclosed4	VGM4	closed	18	18	0,508733259	0,621806313	76	0,508061897	2,494772472	8,637519685	0
VGM	VGMopen4	VGM4	open	18	18	0,618382006	0,789240971	47	0,543513067	1,195971855	4,233907886	0
VGM	VGMclosed5	VGM5	closed	18	18	0,542712391	0,615731829	83	0,55775549	1,59861675	6,208031702	8
VGM	VGMopen5	VGM5	open	18	18	0,611643968	0,809863261	32	0,741211217	2,457915579	9,447972263	8
VGM	VGMclosed6	VGM6	closed	18	18	0,559329644	0,732463042	44	0,778524369	2,875198734	12,80920617	7
VGM	VGMopen6	VGM6	open	18	18	0,518074997	0,51097276	66	0,464054037	1,157163491	3,906130738	7
VGM	VGMclosed7	VGM7	closed	18	18	0,543030636	0,663191812	59	0,497355865	2,685701579	8,905840485	0
VGM	VGMopen7	VGM7	open	18	18	0,476626492	0,547687933	43	0,420602225	0,974364865	2,840468155	0
VGM	VGMclosed8	VGM8	closed	18	18	0,501845055	0,624595495	45	0,726958398	2,331444308	9,672525177	4
VGM	VGMopen8	VGM8	open	18	18	0,455945705	0,475504729	44	0,578226621	1,218852716	4,434513467	4
VGM	VGMclosed9	VGM9	closed	18	18	0,468916177	0,565925851	123	0,57405952	1,793616282	6,619753616	17
VGM	VGMopen9	VGM9	open	18	18	0,492244661	0,625095909	28	0,569785485	1,277881211	4,290384481	17
VGM	VGMclosed1	VGM1	closed	24	24	0,630098742	0,78216714	10	0,661387626	0,893204375	3,134115302	9
VGM	VGMopen1	VGM1	open	24	24	0,719650933	0,843255465	9	NA	NA	NA	9
VGM	VGMclosed10	VGM10	closed	24	24	0,700150484	0,772397257	105	0,343867235	0,872476267	2,733966753	5
VGM	VGMopen10	VGM10	open	24	24	0,560459559	0,655309177	23	0,612401568	1,652910617	5,239757497	5
VGM	VGMclosed11	VGM11	closed	24	24	0,464129143	0,553769921	54	0,49904614	1,803215496	5,744614869	7
VGM	VGMopen11	VGM11	open	24	24	0,510476621	0,571069378	57	0,434857796	1,56323544	4,858239954	7
VGM	VGMclosed12	VGM12	closed	24	24	0,532048275	0,737093484	34	0,612984083	1,461078161	5,415225751	26
VGM	VGMopen12	VGM12	open	24	24	0,667668622	0,862201877	31	0,649680994	1,627785222	6,150437835	26
VGM	VGMclosed14	VGM14	closed	24	24	0,61792162	0,823607915	47	0,565358866	1,567021724	5,763673475	25
VGM	VGMopen14	VGM14	open	24	24	0,484387206	0,554977426	44	0,428318089	0,878388088	2,829812689	25
VGM	VGMclosed15	VGM15	closed	24	24	0,68285594	0,9360991	25	0,675217157	1,744722645	5,868616664	23
VGM	VGMopen15	VGM15	open	24	24	0,558650161	0,728618158	22	0,602838497	1,209667049	4,14421832	23
VGM	VGMclosed4	VGM4	closed	24	24	0,509333757	0,630658439	80	0,507056456	2,660664438	9,240947419	0
