Site	UnPlot	UniquePair	Treatment	Time	RealTime	jaccdist	Heucdist	Abund	Estar	Hstar	Dstar	Adpalms
ITA	ITAopen15	ITA15	open	30	30	0,516796017	0,548528463	14	0,251024523	0,814616917	2,270403342	8
ITA	ITAclosed2	ITA2	closed	30	30	0,60391768	0,816314266	22	0,425587467	1,356016684	4,263957253	11
ITA	ITAopen2	ITA2	open	30	30	0,543349037	0,661914347	8	0,607453344	1,095883602	3,921807145	11
ITA	ITAclosed4	ITA4	closed	30	30	0,556352276	0,573513407	40	0,333435847	1,390637661	4,108740965	6
ITA	ITAopen4	ITA4	open	30	30	0,42730482	0,410811434	15	0,375792428	1,136707473	3,269851562	6
ITA	ITAclosed6	ITA6	closed	30	30	0,460744272	0,531736882	21	0,34464611	1,129159583	3,247203268	14
ITA	ITAopen6	ITA6	open	30	30	0,553526356	0,650871176	21	0,56778679	0,692972947	2,699443442	14
ITA	ITAclosed8	ITA8	closed	30	30	0,410127147	0,52929297	15	0,362143689	1,045019788	3,014431534	12
ITA	ITAopen8	ITA8	open	30	30	0,529896676	0,694283396	9	0,478184775	0,995628152	3,121672202	12
ITA	ITAclosed1	ITA1	closed	36	37	0,400508196	0,545796574	24	0,415786415	1,414259595	4,425398933	20
ITA	ITAopen1	ITA1	open	36	37	0,351779557	0,428936105	9	0,557057078	1,220249498	4,057735608	20
ITA	ITAclosed10	ITA10	closed	36	37	0,426970897	0,557465219	15	0,356395431	1,016339881	2,932555708	5
ITA	ITAopen10	ITA10	open	36	37	0,55149266	0,434806706	3	0,6600139	0,754552201	2,644135772	5
ITA	ITAclosed12	ITA12	closed	36	37	0,542780487	0,417489926	5	NA	NA	NA	21
ITA	ITAopen12	ITA12	open	36	37	0,758922652	1,118608183	5	0,576366925	0,931862568	3,040046756	21
ITA	ITAclosed14	ITA14	closed	36	37	0,629651723	0,837338234	21	0,379994025	1,080405101	3,259157576	5
ITA	ITAopen14	ITA14	open	36	37	0,38026092	0,494748795	9	0,540032215	1,157996957	3,798531413	5
ITA	ITAclosed15	ITA15	closed	36	37	0,547099387	0,486499024	44	0,253195662	1,131982145	3,103100787	8
ITA	ITAopen15	ITA15	open	36	37	0,542291088	0,569789955	13	0,263031886	0,814451567	2,282079477	8
ITA	ITAclosed2	ITA2	closed	36	37	0,58556712	0,797490883	24	0,41909438	1,37862238	4,340724201	11
ITA	ITAopen2	ITA2	open	36	37	0,488073887	0,608589376	10	0,5521783	1,145400029	3,905526091	11
ITA	ITAclosed4	ITA4	closed	36	37	0,546972486	0,508794989	45	0,2989601	1,299870419	3,717342631	6
ITA	ITAopen4	ITA4	open	36	37	0,488143303	0,468176828	18	0,389264193	1,218684445	3,596110999	6
ITA	ITAclosed6	ITA6	closed	36	37	0,452442992	0,542713943	22	0,357323838	1,130230148	3,312481235	14
ITA	ITAopen6	ITA6	open	36	37	0,556117649	0,708258318	16	0,351128524	1,06612705	3,043908304	14
ITA	ITAclosed8	ITA8	closed	36	37	0,421431955	0,531171015	14	0,376695786	1,045690859	3,043252839	12
ITA	ITAopen8	ITA8	open	36	37	0,531165702	0,720518466	10	0,451878503	1,010215719	3,103773677	12
ITA	ITAclosed1	ITA1	closed	42	43	0,423102936	0,578129057	23	0,454731114	1,36812855	4,518433843	20
ITA	ITAopen1	ITA1	open	42	43	0,385423929	0,441818895	10	0,547968024	1,23239611	4,123307012	20
ITA	ITAclosed10	ITA10	closed	42	43	0,429371291	0,551744261	15	0,375792428	1,136707473	3,269851562	5
ITA	ITAopen10	ITA10	open	42	43	0,627858454	0,512845817	2	0,816023395	0,691168686	2,700418534	5
ITA	ITAclosed12	ITA12	closed	42	43	0,646132977	0,446303631	3	NA	NA	NA	21
ITA	ITAopen12	ITA12	open	42	43	0,735661739	1,091667894	5	0,576366925	0,931862568	3,040046756	21
ITA	ITAclosed14	ITA14	closed	42	43	0,61789775	0,820656411	22	0,368175427	1,07911641	3,224737621	5
ITA	ITAopen14	ITA14	open	42	43	0,498773718	0,572866323	7	0,622742873	1,098572259	3,908605157	5
ITA	ITAclosed15	ITA15	closed	42	43	0,562823565	0,475187711	49	0,230658835	1,234140761	3,276098185	8
ITA	ITAopen15	ITA15	open	42	43	0,567734434	0,622237241	13	0,263031886	0,814451567	2,282079477	8
