Site	UnPlot	UniquePair	Treatment	Time	RealTime	jaccdist	Heucdist	Abund	Estar	Hstar	Dstar	Adpalms
CAR	CARclosed10	CAR10	closed	18	17	0,522026517	0,588448177	47	0,53135878	1,302046261	4,545535132	7
CAR	CARopen10	CAR10	open	18	17	0,620438562	0,834325348	9	NA	NA	NA	7
CAR	CARclosed11	CAR11	closed	18	17	0,464213295	0,570135955	25	0,568734112	0,963861855	3,349260957	6
CAR	CARopen11	CAR11	open	18	17	0,551936764	0,638510807	35	0,690155707	1,948313934	7,427075369	6
CAR	CARclosed12	CAR12	closed	18	17	0,488867983	0,619838845	21	0,520761979	1,17944655	3,665826335	7
CAR	CARopen12	CAR12	open	18	17	0,578389102	0,74471573	10	NA	NA	NA	7
CAR	CARclosed14	CAR14	closed	18	17	0,63186282	0,823488158	21	0,818331282	2,093184982	8,149223549	2
CAR	CARopen14	CAR14	open	18	17	0,661322132	0,949995855	9	0,822261123	1,316987326	4,65405374	2
CAR	CARclosed15	CAR15	closed	18	17	0,498244832	0,558343194	16	0,628644398	0,8951471	3,162344167	6
CAR	CARopen15	CAR15	open	18	17	0,611485958	0,851058358	9	0,832246707	1,271609457	5,063497369	6
CAR	CARclosed2	CAR2	closed	18	17	0,665505471	0,896931461	35	0,872944209	2,877279914	12,95910895	5
CAR	CARopen2	CAR2	open	18	17	0,594190465	0,781278357	36	0,662043573	1,56269519	6,205710619	5
CAR	CARclosed3	CAR3	closed	18	17	0,682694608	0,903243827	33	0,63103627	1,43342413	5,110993598	4
CAR	CARopen3	CAR3	open	18	17	0,567079218	0,703214705	13	0,70490922	1,097446325	3,923138158	4
CAR	CARclosed4	CAR4	closed	18	17	0,679770344	0,915146173	54	0,709563819	2,032116517	8,524956048	1
CAR	CARopen4	CAR4	open	18	17	0,639955444	0,88965596	38	0,611684547	1,882014773	6,487531736	1
CAR	CARclosed5	CAR5	closed	18	17	0,734236559	1,020223001	49	0,18666836	0,232354428	1,290851858	7
CAR	CARopen5	CAR5	open	18	17	0,577953433	0,764576294	27	0,70490922	1,097446325	3,923138158	7
CAR	CARclosed8	CAR8	closed	18	17	0,570281061	0,668742775	64	0,533876142	1,914924399	7,165591626	9
CAR	CARopen8	CAR8	open	18	17	0,675252664	0,883048877	33	0,34580338	0,440794525	1,688182809	9
CAR	CARclosed9	CAR9	closed	18	17	0,537757245	0,625325209	47	0,434562157	1,166380292	3,618214405	16
CAR	CARopen9	CAR9	open	18	17	0,636471448	0,765649806	25	0,44277859	0,546111401	1,975743564	16
CAR	CARclosed1	CAR1	closed	24	24	0,500677784	0,587917842	39	0,481033022	0,960209543	3,184801824	5
CAR	CARopen1	CAR1	open	24	24	0,574915633	0,74527959	17	0,848781973	1,537278884	5,610835259	5
CAR	CARclosed10	CAR10	closed	24	24	0,535782202	0,513273253	65	0,43494723	0,982234714	3,182237653	7
CAR	CARopen10	CAR10	open	24	24	0,593396902	0,748398491	14	0,865616348	0,960128541	3,680679096	7
CAR	CARclosed11	CAR11	closed	24	24	0,498941731	0,559541252	22	0,51383096	0,733339286	2,525207546	6
CAR	CARopen11	CAR11	open	24	24	0,511400486	0,601525766	35	0,649017658	1,721578151	6,285963195	6
CAR	CARclosed12	CAR12	closed	24	24	0,518078413	0,638095603	22	0,555086212	1,271156548	4,06550721	7
CAR	CARopen12	CAR12	open	24	24	0,608254028	0,742755895	11	NA	NA	NA	7
CAR	CARclosed14	CAR14	closed	24	24	0,628024758	0,819140981	21	0,818331282	2,093184982	8,149223549	2
CAR	CARopen14	CAR14	open	24	24	0,678097763	0,992538015	9	0,822261123	1,316987326	4,65405374	2
CAR	CARclosed15	CAR15	closed	24	24	0,54638933	0,593765212	15	0,660330818	0,98720861	3,435245802	6
CAR	CARopen15	CAR15	open	24	24	0,629670607	0,85025361	9	0,832246707	1,271609457	5,063497369	6
CAR	CARclosed2	CAR2	closed	24	24	0,628845342	0,847219982	41	0,850373691	2,984903663	12,97389544	5
CAR	CARopen2	CAR2	open	24	24	0,643788389	0,85212093	43	0,630166019	1,581325816	6,056293088	5
CAR	CARclosed3	CAR3	closed	24	24	0,675245084	0,906301084	38	0,612041669	1,347293406	4,791753764	4
CAR	CARopen3	CAR3	open	24	24	0,527161331	0,669176998	15	0,657365571	0,997804993	3,542680089	4
CAR	CARclosed4	CAR4	closed	24	24	0,666691638	0,925909803	59	0,64804155	1,891600206	7,898960468	1
CAR	CARopen4	CAR4	open	24	24	0,649616126	0,938362917	34	0,66474472	1,892655269	6,923873892	1
CAR	CARclosed5	CAR5	closed	24	24	0,726098112	1,009184307	50	0,1915513	0,238650889	1,30065293	7
CAR	CARopen5	CAR5	open	24	24	0,529805496	0,671307647	33	0,576366925	0,931862568	3,040046756	7
CAR	CARclosed8	CAR8	closed	24	24	0,55197144	0,674105498	63	0,52366786	1,802400204	6,586272363	9
CAR	CARopen8	CAR8	open	24	24	0,614950963	0,765708579	39	0,384769807	0,844646195	2,581545547	9
CAR	CARclosed9	CAR9	closed	24	24	0,523901777	0,603625675	47	0,400059046	1,006905688	3,077399426	16
