Site	UnPlot	UniquePair	Treatment	Time	RealTime	jaccdist	eucdist	Abund	Estar	Hstar	Dstar	Adpalms
ITA	ITAopen14	ITA14	open	24	24	0,48129141	2,297065912	16	0,725436516	1,334992087	4,525552476	5
ITA	ITAclosed15	ITA15	closed	24	24	0,599072537	21,09520949	48	0,379260206	1,170849334	3,522028137	8
ITA	ITAopen15	ITA15	open	24	24	0,598031483	10,01742179	27	0,490481891	0,814852732	2,74571978	8
ITA	ITAclosed2	ITA2	closed	24	24	0,636849837	11,00591071	22	0,59478394	1,335753061	4,803178296	11
ITA	ITAopen2	ITA2	open	24	24	0,550159815	3,570817323	26	0,752719992	1,839370745	6,440629141	11
ITA	ITAclosed4	ITA4	closed	24	24	0,538365833	7,202291811	34	0,589110625	2,200898401	8,095824708	6
ITA	ITAopen4	ITA4	open	24	24	0,528379647	6,052182252	23	0,537340556	1,459867957	4,517883709	6
ITA	ITAclosed6	ITA6	closed	24	24	0,512072351	7,445879342	29	0,52929251	1,478511241	4,932917693	14
ITA	ITAopen6	ITA6	open	24	24	0,557969416	8,208432615	29	0,524631038	1,393684033	4,339288359	14
ITA	ITAclosed8	ITA8	closed	24	24	0,408303706	4,421142588	29	0,420863979	0,826839775	2,556748037	12
ITA	ITAopen8	ITA8	open	24	24	0,588914994	5,822962907	28	0,603442038	1,685524422	5,58603407	12
ITA	ITAclosed1	ITA1	closed	30	30	0,418584469	4,979106343	31	0,556861848	1,918227212	6,413940535	20
ITA	ITAopen1	ITA1	open	30	30	0,496412119	2,051496698	21	0,848019828	1,814695248	8,230195766	20
ITA	ITAclosed10	ITA10	closed	30	30	0,487409887	4,627783127	16	0,569663838	1,210289731	3,944430076	5
ITA	ITAopen10	ITA10	open	30	30	0,585144124	2,855520495	5	0,816023395	0,691168686	2,700418534	5
ITA	ITAclosed12	ITA12	closed	30	30	0,558525948	5,291628643	8	0,514019156	0,465345617	1,835820612	21
ITA	ITAopen12	ITA12	open	30	30	0,72231467	5,002660008	8	0,683570533	0,599262712	2,311619388	21
ITA	ITAclosed14	ITA14	closed	30	30	0,628549374	10,57258445	22	0,566212139	0,774211487	2,809753834	5
ITA	ITAopen14	ITA14	open	30	30	0,480536823	4,045445294	21	0,586921174	1,260266665	4,013210745	5
ITA	ITAclosed15	ITA15	closed	30	30	0,589906807	25,92154789	55	0,348355496	1,075871492	3,191804286	8
ITA	ITAopen15	ITA15	open	30	30	0,564331716	9,537002491	28	0,490481891	0,814852732	2,74571978	8
ITA	ITAclosed2	ITA2	closed	30	30	0,606658444	11,06643146	25	0,601091394	1,602774556	5,869223071	11
ITA	ITAopen2	ITA2	open	30	30	0,566478728	3,444618994	27	0,822834069	1,843585033	6,588488194	11
ITA	ITAclosed4	ITA4	closed	30	30	0,56139804	15,51093032	47	0,500420498	1,364391197	4,79455093	6
ITA	ITAopen4	ITA4	open	30	30	0,514036771	7,657910876	27	0,519127903	1,523101339	4,777944367	6
ITA	ITAclosed6	ITA6	closed	30	30	0,516888127	6,809744977	29	0,539259688	1,426960601	4,902817492	14
ITA	ITAopen6	ITA6	open	30	30	0,57099743	12,28553086	36	0,369745559	1,101028845	3,11579582	14
ITA	ITAclosed8	ITA8	closed	30	30	0,449705034	4,081089109	29	0,471245353	1,01402147	3,114475909	12
ITA	ITAopen8	ITA8	open	30	30	0,591151591	4,90709442	27	0,646894537	1,741694793	5,744418459	12
ITA	ITAclosed1	ITA1	closed	36	37	0,423468296	5,194347794	31	0,556861848	1,918227212	6,413940535	20
ITA	ITAopen1	ITA1	open	36	37	0,466747288	2,020582391	25	0,848019828	1,814695248	8,230195766	20
ITA	ITAclosed10	ITA10	closed	36	37	0,470467385	4,225089546	18	0,475314477	0,892833546	2,849655893	5
ITA	ITAopen10	ITA10	open	36	37	0,580750651	2,694617869	7	0,816023395	0,691168686	2,700418534	5
ITA	ITAclosed12	ITA12	closed	36	37	0,564725373	6,017431671	9	0,514019156	0,465345617	1,835820612	21
ITA	ITAopen12	ITA12	open	36	37	0,728828065	4,989735881	8	0,683570533	0,599262712	2,311619388	21
ITA	ITAclosed14	ITA14	closed	36	37	0,622919995	13,57348416	31	0,4946665	0,705875578	2,481089319	5
ITA	ITAopen14	ITA14	open	36	37	0,433687291	1,675391655	20	0,70490922	1,097446325	3,923138158	5
ITA	ITAclosed15	ITA15	closed	36	37	0,557418141	22,58987438	55	0,384153648	1,07127787	3,297647024	8
ITA	ITAopen15	ITA15	open	36	37	0,578210894	8,697510698	29	0,478018686	0,73650588	2,496839657	8
ITA	ITAclosed2	ITA2	closed	36	37	0,58509868	11,065378	28	0,559342693	1,612313212	5,532316997	11
ITA	ITAopen2	ITA2	open	36	37	0,521838197	3,195475704	33	0,740329778	1,749987456	6,142265373	11
ITA	ITAclosed4	ITA4	closed	36	37	0,550801455	20,26252126	53	0,448166276	1,104245921	3,654714698	6
ITA	ITAopen4	ITA4	open	36	37	0,551313081	8,745696659	32	0,545300477	1,684296159	5,657658626	6
ITA	ITAclosed6	ITA6	closed	36	37	0,501994703	6,378880849	37	0,518325116	1,388736417	4,627424504	14
ITA	ITAopen6	ITA6	open	36	37	0,580121034	9,370891928	32	0,450826592	1,276168095	3,733343741	14
ITA	ITAclosed8	ITA8	closed	36	37	0,458582309	4,6253849	30	0,487800606	1,060459162	3,251479346	12
ITA	ITAopen8	ITA8	open	36	37	0,589574757	5,639027662	29	0,623550139	1,689449424	5,54962553	12
ITA	ITAclosed1	ITA1	closed	42	43	0,442864442	5,472572963	33	0,579369242	2,115116239	7,100767208	20
ITA	ITAopen1	ITA1	open	42	43	0,486479833	2,427821392	29	0,822824202	1,956912941	8,405278626	20
