Site	UniquePair	UnPlot	Treatment	Time	RealTime	jaccdist	Heucdist	Abund	Estar	Hstar	Dstar	Adpalms
ITA	ITA8	ITAopen8	open	42	43	0,645405969	0,886260438	6	0,58936851	1,038600945	3,454510647	12
ITA	ITA1	ITAclosed1	closed	48	50	0,615762141	0,875590042	2	0,816023395	0,691168686	2,700418534	20
ITA	ITA1	ITAopen1	open	48	50	0,659039917	0,938616698	4	0,723680979	0,954929388	3,574618281	20
ITA	ITA10	ITAclosed10	closed	48	50	0,669314719	0,945703602	2	0,816023395	0,691168686	2,700418534	5
ITA	ITA10	ITAopen10	open	48	50	0,659077781	0,938616424	1	NA	NA	NA	5
ITA	ITA12	ITAclosed12	closed	48	50	0,615762143	0,875590085	3	0,755976311	0,843149336	3,179021609	21
ITA	ITA12	ITAopen12	open	48	50	NA	NA	0	NA	NA	NA	21
ITA	ITA14	ITAclosed14	closed	48	50	NA	NA	0	NA	NA	NA	5
ITA	ITA14	ITAopen14	open	48	50	NA	NA	0	NA	NA	NA	5
ITA	ITA15	ITAclosed15	closed	48	50	0,669314191	0,945703805	6	0,624260812	1,010425499	3,556878195	8
ITA	ITA15	ITAopen15	open	48	50	0,659079592	0,938616662	6	0,652487192	1,08238089	3,900209527	8
ITA	ITA2	ITAclosed2	closed	48	50	0,669314719	0,945703602	1	NA	NA	NA	11
ITA	ITA2	ITAopen2	open	48	50	0,659057696	0,938617176	2	0,816023395	0,691168686	2,700418534	11
ITA	ITA4	ITAclosed4	closed	48	50	0,669314246	0,9457035	2	0,816023395	0,691168686	2,700418534	6
ITA	ITA4	ITAopen4	open	48	50	0,659077781	0,938616424	7	0,462905355	0,948504338	2,863718483	6
ITA	ITA6	ITAclosed6	closed	48	50	0,669313531	0,945703361	6	0,652487192	1,08238089	3,900209527	14
ITA	ITA6	ITAopen6	open	48	50	0,632933319	0,86385785	5	0,478524108	0,803784725	2,497216666	14
ITA	ITA8	ITAclosed8	closed	48	50	0,669313476	0,945703498	1	NA	NA	NA	12
ITA	ITA8	ITAopen8	open	48	50	0,632931308	0,86385785	6	0,58936851	1,038600945	3,454510647	12
ITA	ITA1	ITAclosed1	closed	54	57	0,615745499	0,875602253	2	0,816023395	0,691168686	2,700418534	20
ITA	ITA1	ITAopen1	open	54	57	0,658661726	0,937542467	4	0,723680979	0,954929388	3,574618281	20
ITA	ITA10	ITAclosed10	closed	54	57	0,669277462	0,945687687	2	0,816023395	0,691168686	2,700418534	5
ITA	ITA10	ITAopen10	open	54	57	0,658662308	0,93754261	1	NA	NA	NA	5
