ID,Study_Location_new,Study.reference,Frug_Family,Frugivore_Species,Frugivore_Species2,Frug_Body_Mass,Plant_family,Plant_Species,Plant_Species2,interaction,seed_diameter,Type.of.Interaction,Plant_genus,Plant_specific.epiteth,Plant_origin,Plant_Form,fruit_diameter,fruit_length,seed_length,Fruit_color,Lipid_Score,Plants_IUCN,Frug_Class,Frug_Order,Frug_Genus,Frug_Epitetus,Frug_Group,Frug_Body_Mass.1,Frug_Mean_Gape_Size,Frugivory_score,Frug_Migration_status,Frug_IUCN,Frug_Population_Trend,Study_Location,Latitude,Longitude,Precision,Doi.Link,Study_Method
133,PE Ilha do Cardoso,Cortes et al  2009,Thraupidae,Tangara peruviana,Tangara_peruviana,22.2,Myrtaceae,Eugenia astringens,Eugenia_astringens,Tangara peruvianaEugenia astringens,NA,Mutualistic,Eugenia,astringens,native,tree,NA,NA,NA,black,1,NE,Aves,Passeriformes,Tangara,peruviana,Small birds,22.2,NA,2,MIG,VU,Decreasing,PE Ilha do Cardoso,-25.132815,-47.961431,preciso,10.1111/j.1442-9993.2009.01926.x,Plant-oriented
134,PE Ilha do Cardoso,Cortes et al  2009,Tyrannidae,Pitangus sulphuratus,Pitangus_sulphuratus,63.33,Myrtaceae,Eugenia astringens,Eugenia_astringens,Pitangus sulphuratusEugenia astringens,NA,Mutualistic,Eugenia,astringens,native,tree,NA,NA,NA,black,1,NE,Aves,Passeriformes,Pitangus,sulphuratus,Small birds,63.33,13.89,2,RES,LC,Increasing,PE Ilha do Cardoso,-25.132815,-47.961431,preciso,10.1111/j.1442-9993.2009.01926.x,Plant-oriented
135,PE Ilha do Cardoso,Cortes et al  2009,Turdidae,Turdus amaurochalinus,Turdus_amaurochalinus,57.9,Myrtaceae,Eugenia astringens,Eugenia_astringens,Turdus amaurochalinusEugenia astringens,NA,Mutualistic,Eugenia,astringens,native,tree,NA,NA,NA,black,1,NE,Aves,Passeriformes,Turdus,amaurochalinus,Small birds,57.9,12.1,2,MIG,LC,Stable,PE Ilha do Cardoso,-25.132815,-47.961431,preciso,10.1111/j.1442-9993.2009.01926.x,Plant-oriented
136,PE Ilha do Cardoso,Cortes et al  2009,Turdidae,Turdus sp,Turdus_sp,NA,Myrtaceae,Eugenia astringens,Eugenia_astringens,Turdus spEugenia astringens,NA,Mutualistic,Eugenia,astringens,native,tree,NA,NA,NA,black,1,NE,Aves,Passeriformes,Turdus,,Small birds,NA,NA,2,NA,NA,NA,PE Ilha do Cardoso,-25.132815,-47.961431,preciso,10.1111/j.1442-9993.2009.01926.x,Plant-oriented
137,PE Ilha do Cardoso,Cortes et al  2009,Turdidae,Turdus rufiventris,Turdus_rufiventris,69.5,Myrtaceae,Eugenia astringens,Eugenia_astringens,Turdus rufiventrisEugenia astringens,NA,Mutualistic,Eugenia,astringens,native,tree,NA,NA,NA,black,1,NE,Aves,Passeriformes,Turdus,rufiventris,Small birds,69.5,13.25,2,RES,LC,Stable,PE Ilha do Cardoso,-25.132815,-47.961431,preciso,10.1111/j.1442-9993.2009.01926.x,Plant-oriented
138,PE Ilha do Cardoso,Cortes et al  2009,Turdidae,Turdus flavipes,Turdus_flavipes,65.33,Myrtaceae,Eugenia astringens,Eugenia_astringens,Turdus flavipesEugenia astringens,NA,Mutualistic,Eugenia,astringens,native,tree,NA,NA,NA,black,1,NE,Aves,Passeriformes,Turdus,flavipes,Small birds,65.33,12.25,3,MIG,LC,Stable,PE Ilha do Cardoso,-25.132815,-47.961431,preciso,10.1111/j.1442-9993.2009.01926.x,Plant-oriented
139,PE Ilha do Cardoso,Cortes et al  2009,Thraupidae,Thraupis sayaca,Thraupis_sayaca,32.5,Myrtaceae,Eugenia astringens,Eugenia_astringens,Thraupis sayacaEugenia astringens,NA,Mutualistic,Eugenia,astringens,native,tree,NA,NA,NA,black,1,NE,Aves,Passeriformes,Thraupis,sayaca,Small birds,32.5,8.92,3,RES,LC,Stable,PE Ilha do Cardoso,-25.132815,-47.961431,preciso,10.1111/j.1442-9993.2009.01926.x,Plant-oriented
183,ARIE Santa Genebra,Figueiredo 1996,Tyrannidae,Megarynchus pitangua,Megarynchus_pitangua,66.7,Moraceae,Ficus sp,Ficus_sp,Megarynchus pitanguaFicus sp,0.7,Mutualistic,Ficus,sp,native,tree,12.3,14.5,1.6,green,1,NE,Aves,Passeriformes,Megarynchus,pitangua,Small birds,66.7,17.81,1,RES,LC,Stable,NA,NA,NA,NA,https://www.researchgate.net/publication/280579094_Germination_ecology_of_Ficus_luschnathiana_drupelets_after_bird_and_bat_ingestion_Ecologia_da_germinacao_de_Ficus_luschnathiana_apos_ingestao_por_passaros_e_morcegos,Plant-oriented
184,ARIE Santa Genebra,Figueiredo 1996,Vireonidae,Vireo olivaceus,Vireo_olivaceus,16.17,Moraceae,Ficus sp,Ficus_sp,Vireo olivaceusFicus sp,0.7,Mutualistic,Ficus,sp,native,tree,12.3,14.5,1.6,green,1,NE,Aves,Passeriformes,Vireo,olivaceus,Small birds,16.17,6.76,2,AM,LC,Increasing,NA,NA,NA,NA,https://www.researchgate.net/publication/280579094_Germination_ecology_of_Ficus_luschnathiana_drupelets_after_bird_and_bat_ingestion_Ecologia_da_germinacao_de_Ficus_luschnathiana_apos_ingestao_por_passaros_e_morcegos,Plant-oriented
185,ARIE Santa Genebra,Figueiredo 1996,Thraupidae,Ramphocelus carbo,Ramphocelus_carbo,26,Moraceae,Ficus sp,Ficus_sp,Ramphocelus carboFicus sp,0.7,Mutualistic,Ficus,sp,native,tree,12.3,14.5,1.6,green,1,NE,Aves,Passeriformes,Ramphocelus,carbo,Small birds,26,10.17,2,RES,LC,Stable,NA,NA,NA,NA,https://www.researchgate.net/publication/280579094_Germination_ecology_of_Ficus_luschnathiana_drupelets_after_bird_and_bat_ingestion_Ecologia_da_germinacao_de_Ficus_luschnathiana_apos_ingestao_por_passaros_e_morcegos,Plant-oriented
